   16.2     1.44   0.027   0.0014
   16.2     1.38   0.053   0.0014
   16.3     1.42   0.080  -0.0058
   16.2     1.43   0.106  -0.0056
   16.3     1.44   0.133  -0.0052
   16.2     1.37   0.159  -0.0008
   16.2     1.45   0.186   0.0006
   16.2     1.42   0.212  -0.0032
   16.2     1.44   0.239  -0.0040
   16.3     1.49   0.266  -0.0029
   16.4     1.48   0.292  -0.0024
   16.2     1.38   0.318   0.0018
   16.1     1.38   0.345   0.0032
   16.1     1.33   0.371   0.0052
   16.1     1.38   0.398   0.0073
   16.2     1.38   0.424   0.0062
   16.2     1.36   0.451   0.0096
   16.2     1.34   0.477   0.0069
   16.2     1.34   0.504   0.0097
   16.1     1.36   0.530   0.0087
   16.2     1.37   0.557   0.0069
   16.2     1.38   0.584   0.0062
   16.1     1.42   0.611   0.0053
   16.1     1.39   0.637   0.0066
   16.1     1.39   0.663   0.0096
   16.2     1.36   0.690   0.0089
   16.2     1.41   0.717   0.0101
   16.1     1.41   0.743   0.0068
   16.0     1.34   0.771   0.0058
   16.2     1.37   0.797   0.0049
   16.1     1.29   0.823   0.0084
   16.1     1.28   0.850   0.0057
   16.1     1.33   0.877   0.0069
   16.1     1.30   0.903   0.0067
   16.0     1.29   0.929   0.0047
   16.1     1.30   0.956   0.0037
   16.2     1.34   0.983   0.0051
   16.2     1.38   1.010   0.0070
   16.1     1.33   1.036   0.0091
   16.2     1.35   1.063   0.0054
   16.1     1.34   1.089   0.0031
   16.1     1.35   1.116   0.0035
   16.0     1.33   1.143   0.0046
   16.2     1.32   1.170   0.0027
   16.2     1.34   1.196   0.0035
   16.1     1.31   1.223   0.0010
   16.1     1.35   1.249   0.0018
   16.1     1.32   1.276  -0.0011
   16.1     1.31   1.302   0.0033
   16.2     1.34   1.328   0.0005
   16.2     1.33   1.355   0.0037
   16.2     1.34   1.381   0.0081
   16.2     1.33   1.408   0.0096
   16.2     1.37   1.434   0.0070
   16.2     1.34   1.460   0.0062
   16.1     1.35   1.487   0.0060
   16.0     1.33   1.514   0.0102
   16.1     1.35   1.540   0.0086
   16.1     1.28   1.567   0.0091
   16.2     1.32   1.593   0.0124
   16.1     1.28   1.620   0.0113
   16.2     1.32   1.647   0.0128
   16.1     1.28   1.673   0.0100
   16.1     1.28   1.700   0.0097
   16.0     1.27   1.726   0.0128
   16.1     1.32   1.753   0.0085
   16.1     1.27   1.779   0.0064
   16.1     1.29   1.806   0.0065
   16.0     1.31   1.833   0.0077
